content,score
Sy suka. ..tapi untuk sekedar masukan..mohon dibuatkan lagi riwayat yg menampilkan transaksi debet/ kredit berikut saldo ( seperti di mbanking).sy lebih suka mbanking yg lama.lebih lengkap ..mksh,3
"baru mau daftar, kode otp ga masuk² padahal udh pilih lewat sms, lewat wa ke nomer yg aktif pas didaftarkan di rekening. tiba² ada info sudah mengirimkan kode otp 3x terus diminta besok lagi prosesnya. males ah",1
"Minus mata saya diatas 10, ketika verifikasi wajah harus lepas kacamata, dan akhirnya selalu gagal, karena saya tidak bisa membaca perintah di layar, burem boss, tolong bisa pakai bantuan perintah voice ketika verifikasi wajah, terimakasih",2
"tadinya saya pikir aplikasi baru dgn fitur yg baru. . . tapi ternyataaa....... aplikasi baru , fitur malah di sunat, tidak tersedia mobile tunai. heemm. . . mungkin harus segera di updete nih fiturnya. .",2
aplikasinya masih banyak kurang fitur.. Tarik/Setor tunai tidak ada mohon segera di sediakan fitur tersebut terimakasih.,4
"BNI nomor 1 pengajuan kartu kredit pun sangat mudah terimakasih BNI sudah memberikan kepercayaan kepada saya pemegang kartu kredit, akan selalu saya jaga kepercayaan itu, saya sudah mengajukan kartu kredit ke bank mana pun tapi slalu di tolak, tapi di BNI sekali pengajuan langsung di proses dan kartu kredit nya pun di kirim ke alamat rumah Terimakasih BNI adalah nomor 1 Cs nya pun sangat santun Dan saya segera pindah dari bank tetangga semua tabungan rekening dari tetangga akan segera saya tutup",5
Aplikasi banyak masalah.. Belum siap untuk digunakan. Transfer selalu error mulu. Untuk UI padahal sudah lumayan bagus.,1
"APK burik.., masa iya udah punya hak akses disamakan dengan pengguna baru setiap login, lupa password, lupa pin, databasenya pakai flashdisk atau bagaimana. Jauh jika dibandingkan dengan BUMN yang warna Biru",1
"Mobile tunai tidak bisa dipakai., kenapa harus dipecah sih aplikasinya? Udah bagus padahal m-banking nya, lancar jaya jarang ada gangguan. Segala kayak BCA harus segala ada dua aplikasi",1
"Enak aplikasinya fresh smooth, cuma belum ada fitur tarik tunai tanpa kartu, mungkin bisa di tambahkan untuk kedepannya",4
